"NMI","NMI_Configuration","NMI_Suffix","MDM_Id","Value","UOM","Reading_Date","Quality_Method"
"4103693793","E1K1Q1","K1",,"2.718","KVARH","12/02/2016 1:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 1:15","A"
"4103693793","E1K1Q1","E1","N1","7.506","KWH","12/02/2016 1:30","A"
"4103693793","E1K1Q1","K1",,"2.688","KVARH","12/02/2016 1:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 1:30","A"
"4103693793","E1K1Q1","E1","N1","7.344","KWH","12/02/2016 1:45","A"
"4103693793","E1K1Q1","K1",,"2.67","KVARH","12/02/2016 1:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 1:45","A"
"4103693793","E1K1Q1","E1","N1","7.338","KWH","12/02/2016 2:00","A"
"4103693793","E1K1Q1","K1",,"2.67","KVARH","12/02/2016 2:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 2:00","A"
"4103693793","E1K1Q1","E1","N1","7.314","KWH","12/02/2016 2:15","A"
"4103693793","E1K1Q1","K1",,"2.664","KVARH","12/02/2016 2:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 2:15","A"
"4103693793","E1K1Q1","E1","N1","7.266","KWH","12/02/2016 2:30","A"
"4103693793","E1K1Q1","K1",,"2.634","KVARH","12/02/2016 2:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 2:30","A"
"4103693793","E1K1Q1","E1","N1","7.272","KWH","12/02/2016 2:45","A"
"4103693793","E1K1Q1","K1",,"2.652","KVARH","12/02/2016 2:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 2:45","A"
"4103693793","E1K1Q1","E1","N1","7.266","KWH","12/02/2016 3:00","A"
"4103693793","E1K1Q1","K1",,"2.652","KVARH","12/02/2016 3:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 3:00","A"
"4103693793","E1K1Q1","E1","N1","7.248","KWH","12/02/2016 3:15","A"
"4103693793","E1K1Q1","K1",,"2.646","KVARH","12/02/2016 3:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 3:15","A"
